Date;Open;High;Low;Close;Adj Close;Volume
09-11-2017;308.644.989;329.451.996;307.056.000;320.884.003;320.884.003;893249984
10-11-2017;320.670.990;324.717.987;294.541.992;299.252.991;299.252.991;885985984
11-11-2017;298.585.999;319.453.003;298.191.986;314.681.000;314.681.000;842300992
12-11-2017;314.690.002;319.153.015;298.513.000;307.907.990;307.907.990;1613479936
13-11-2017;307.024.994;328.415.009;307.024.994;316.716.003;316.716.003;1041889984
14-11-2017;316.763.000;340.177.002;316.763.000;337.631.012;337.631.012;1069680000
15-11-2017;337.963.989;340.911.987;329.812.988;333.356.995;333.356.995;722665984
16-11-2017;333.442.993;336.158.997;323.605.988;330.924.011;330.924.011;797254016
17-11-2017;330.166.992;334.963.989;327.523.010;332.394.012;332.394.012;621732992
18-11-2017;331.980.011;349.615.997;327.687.012;347.612.000;347.612.000;649638976
19-11-2017;347.401.001;371.290.985;344.739.990;354.385.986;354.385.986;1181529984
20-11-2017;354.093.994;372.136.993;353.289.001;366.730.011;366.730.011;807027008
21-11-2017;367.442.993;372.470.001;350.692.993;360.401.001;360.401.001;949912000
22-11-2017;360.312.012;381.420.013;360.147.003;380.652.008;380.652.008;800819008
23-11-2017;381.438.995;425.548.004;376.088.013;410.165.985;410.165.985;1845680000
24-11-2017;412.501.007;480.972.992;402.757.996;474.911.011;474.911.011;2292829952
25-11-2017;475.675.995;485.191.986;461.053.009;466.276.001;466.276.001;1422080000
26-11-2017;465.973.999;472.722.992;451.605.988;471.329.987;471.329.987;1197779968
27-11-2017;471.531.006;493.404.999;468.484.985;480.355.011;480.355.011;1396480000
28-11-2017;480.518.005;482.480.011;466.346.985;472.902.008;472.902.008;1346499968
29-11-2017;473.281.006;522.307.007;425.071.014;427.523.010;427.523.010;2675940096
30-11-2017;431.214.996;465.497.009;401.243.011;447.114.014;447.114.014;1903040000
01-12-2017;445.209.015;472.609.009;428.312.012;466.540.009;466.540.009;1247879936
